
Roles,
type,data-set,entityid,description,name,carrierinternalrole,roletype
Role,0,superuser,${AdminData.Role.Description.All_Permissions},${AdminData.Role.Name.All_Permissions},true,user
Role,0,underwriter_supervisor,${AdminData.Role.Description.Underwriter_Supervisor},${AdminData.Role.Name.Underwriter_Supervisor},true,user
Role,0,underwriter,${AdminData.Role.Description.Underwriter},${AdminData.Role.Name.Underwriter},true,user
Role,0,underwriter_asst,${AdminData.Role.Description.Underwriter_Asst},${AdminData.Role.Name.Underwriter_Asst},true,user
Role,0,processor,${AdminData.Role.Description.Processor},${AdminData.Role.Name.Processor},true,user
Role,0,producer,${AdminData.Role.Description.Producer},${AdminData.Role.Name.Producer},false,userproducercode
Role,0,producer_clerical,${AdminData.Role.Description.Producer_Clerical},${AdminData.Role.Name.Producer_Clerical},false,user
Role,0,loss_control,${AdminData.Role.Description.Loss_Control},${AdminData.Role.Name.Loss_Control},false,user
Role,0,integration_admin,${AdminData.Role.Description.Integration_Admin},${AdminData.Role.Name.Integration_Admin},true,user
Role,0,rule_admin,${AdminData.Role.Description.Rule_Admin},${AdminData.Role.Name.Rule_Admin},true,user
Role,0,reporting_admin,${AdminData.Role.Description.Reporting_Admin},${AdminData.Role.Name.Reporting_Admin},true,user
Role,0,audit_examiner,${AdminData.Role.Description.Audit_Examiner},${AdminData.Role.Name.Audit_Examiner},true,user
Role,0,producercode_submission,${AdminData.Role.Description.Producercode_Submission},${AdminData.Role.Name.Producercode_Submission},false,producercode
Role,0,producercode_policychanges,${AdminData.Role.Description.Producercode_Policychanges},${AdminData.Role.Name.Producercode_Policychanges},false,producercode
Role,0,producercode_renewals,${AdminData.Role.Description.Producercode_Renewals},${AdminData.Role.Name.Producercode_Renewals},false,producercode
Role,0,producercode_cancellations,${AdminData.Role.Description.Producercode_Cancellations},${AdminData.Role.Name.Producercode_Cancellations},false,producercode
Role,0,producercode_basics,${AdminData.Role.Description.Producercode_Basics},${AdminData.Role.Name.Producercode_Basics},false,producercode
Role,0,premium_auditor,${AdminData.Role.Description.Premium_Auditor},${AdminData.Role.Name.Premium_Auditor},false,user
Role,0,audit_supervisor,${AdminData.Role.Description.Audit_Supervisor},${AdminData.Role.Name.Audit_Supervisor},true,user
Role,0,community_admin,${AdminData.Role.Description.Community_Admin},${AdminData.Role.Name.Community_Admin},true,user
Role,0,user_admin,${AdminData.Role.Description.User_Admin},${AdminData.Role.Name.User_Admin},false,user
Role,0,toolview,${AdminData.Role.Description.Toolview},${AdminData.Role.Name.Toolview},true,user
Role,0,claims_adjuster,${AdminData.Role.Description.Claims_Adjuster},${AdminData.Role.Name.Claims_Adjuster},false,userproducercode
Role,0,forms_admin,${AdminData.Role.Description.Forms_Admin},${AdminData.Role.Name.Forms_Admin},true,user
Role,0,reinsurance_admin,${AdminData.Role.Description.Reinsurance_Admin},${AdminData.Role.Name.Reinsurance_Admin},false,user
Role,0,reinsurance_manager,${AdminData.Role.Description.Reinsurance_Manager},${AdminData.Role.Name.Reinsurance_Manager},false,user
Role,0,rating_analyst,${AdminData.Role.Description.Rating_Analyst},${AdminData.Role.Name.Rating_Analyst},true,user
Role,0,rating_supervisor,${AdminData.Role.Description.Rating_Supervisor},${AdminData.Role.Name.Rating_Supervisor},true,user
Role,0,data_protection_officer,${AdminData.Role.Description.Data_Protection_Officer},${AdminData.Role.Name.Data_Protection_Officer},true,user
